# Frox 日本語化 J7: **クエストの名前と依頼文**（設計 §8.59）。
# 欄: 鍵<TAB>訳。**鍵は触らない。**訳が空なら英語のまま出る（制約 4）。
#   name:番号      … q_info.txt の N: の名前
#   q_xxx.txt:番号 … その本の D: の連なり（上から 1, 2, …）
# `D:` は空白で継がれるので、**1 段落 1 行**で書くこと（§8.59）。
#
# The Thieves' Hideout (Outpost)
name:1	盗賊の隠れ家 (辺境の地)
# The Sewer (Outpost)
name:2	下水道 (辺境の地)
# The Stranger (Telmora)
name:3	見知らぬ者 (テルモラ)
# The Vault (Telmora)
name:4	宝物庫 (テルモラ)
# The Barrow Downs (Telmora)
name:5	塚山丘陵 (テルモラ)
# Trial by Fire (Telmora)
name:6	火の試練 (テルモラ)
# Oberon
name:8	オベロン
# Serpent of Chaos
name:9	混沌のサーペント
# The Node of Sorcery (Zul)
name:10	仙術の特異点 (ズル)
# The Node of Chaos (Zul)
name:11	カオスの特異点 (ズル)
# The Node of Nature (Zul)
name:12	自然の特異点 (ズル)
# Pest Control (Outpost)
name:14	害虫駆除 (辺境の地)
# Eric's Stronghold (Telmora)
name:15	エリックの要塞 (テルモラ)
# Assault on Montsalvat (Telmora)
name:16	モンサルヴァト城への侵攻 (テルモラ)
# Doom Quest I (Angwil)
name:19	破滅のクエスト１ (アングウィル)
# Vapor Quest (Outpost)
name:20	謎の障気 (辺境の地)
# Doom Quest II (Angwil)
name:21	破滅のクエスト２ (アングウィル)
# The Orc Camp (Anambar)
name:22	オークのキャンプ (アナンバール)
# The Spawning Pits (Angwil)
name:23	増殖地獄 (アングウィル)
# The Rise and Fall of Micro$oft (Angwil)
name:24	マイクロソフトの興亡 (アングウィル)
# The Haunted House (Outpost)
name:25	幽霊屋敷 (辺境の地)
# The Killing Fields (Telmora)
name:26	激戦場 (テルモラ)
# The Old Castle (Outpost)
name:27	古い城 (辺境の地)
# The Royal Crypt (Outpost)
name:28	王家の墓 (辺境の地)
# Tengu and Death Swords (Morivant)
name:29	テングとデスソード (モリバント)
# The Mimic's Treasure (Morivant)
name:30	ミミックの財宝 (モリバント)
# Old Man Willow Quest (Outpost)
name:31	柳じじい (辺境の地)
# The Dark Elven Lords (Morivant)
name:32	ダークエルフの王 (モリバント)
# The Cloning Pits (Thalos)
name:33	クローン地獄 (サロス)
# The Mountain Shrine (Telmora)
name:34	山の祠 (テルモラ)
# Dragon Quest (Angwil)
name:35	竜退治 (アングウィル)
# The Sand Pit (Angwil)
