# モンスターの説明文
#
# **この表が説明文の定義の置き場。** 作り直しは `python tools/frox/fc_build_ja_desc.py --write`、
# ここから `edit/r_info.ja.txt` の `D:` を組むのは `fc_build_ja_names.py --write`。
#
# 欄はタブ区切りで idx / name / dep / src / ratio / en / ja。
#   src=変愚   … 英語原文が変愚と一致。訳をそのまま採った
#   src=変愚≒  … ほぼ一致（ratio が材料）。**目で確かめること**
#   src=当方   … 人が書いた。**作り直しでも消さない**
#   src=未訳   … 空欄。英語のまま出る（制約 4）
#
# ja を書き替えれば src は次の作り直しで自動的に `当方` になる。
# name と en は**人が読むため**で、突き合わせには使わない（突き合わせは idx）。
idx	name	dep	src	ratio	en	ja
1	Filthy street urchin	0	変愚	1.000	He looks squalid and thoroughly revolting.	彼は汚らしくて本当に頭に来る奴だ。
2	Scrawny cat	0	変愚	1.000	A skinny little furball with sharp claws and a menacing look.	鋭い爪と哀れな容貌を持ったやせこけた小さなネコだ。
3	Sparrow	0	変愚	1.000	Utterly harmless, except when angry.	怒らせなければ全く無害だ。
4	Chaffinch	0	変愚	1.000	Utterly harmless, except when angry.	頭青花鶏。怒らせなければ全く無害だ。
5	Wild rabbit	0	変愚	1.000	It is not a carnivore, but will defend itself if you stray too close.	肉食ではないが、近づき過ぎると身を守るため攻撃してくる。
6	Woodsman	0	変愚	1.000	He has an axe with a sharp and strong edge.	鋭く頑丈な斧を持っている。
7	Scruffy little dog	0	変愚	1.000	A thin flea-ridden mutt, growling as you get close.	ノミの住みかのようなやせた犬で、人が近づくと唸る。
8	Farmer Maggot	0	変愚	1.000	"Before you appears a broad thick-set hobbit with a round red face. ""What's wrong with old Maggot?"" asked Pippin. ""He's a good friend to all the Brandybucks. Of course he's a terror to trespassers, and keeps ferocious dogs -- but after all, folk down here are near the border and have to be more on their guard."""	丸い赤ら顔のずんぐりしたホビットが、姿を現しました。「マゴットじいさんがどうしたっていうんです？」と、ピピンがたずねました。「あのひとはブランディバック一族のだれとでも仲良くやってますよ。むろん、黙ってじいさんの土地に入ってくるやつらには、ひどく怖い存在だし、獰猛な犬も飼ってるけど---だけど、このあたりに住んでいれば、庄境にも近いし、よそより用心してかからなきゃならないわけですよ。」（J.R.R.トールキン、瀬田貞二・田中明子訳 新版指輪物語） 
9	Blubbering idiot	0	変愚	1.000	He tends to blubber a lot.	彼はいつも泣いてばかりいる。
10	Hobo	0	変愚	1.000	Ugly doesn't begin to describe him.	醜い男だが、一番の特徴はその醜さではない。
11	Raving lunatic	0	変愚	1.000	Drooling and comical, but then, what do you expect?	よだれを垂らして楽しそうにしているが、それ以上の何を期待するのだろうか？
12	Pitiful looking beggar	0	変愚	1.000	You just can't help feeling sorry for him.	彼を見ると、どうしても哀れだという思いを禁じ得ない。
13	Mangy looking leper	0	変愚	1.000	You feel it isn't safe to touch him.	彼に触るのは危険な気がする。
14	Agent of black market	0	変愚	1.000	He 'finds' new wares for the Black Market. From unwary adventurers...	彼はブラックマーケットの商品を「拾って」来る。油断した冒険者から...
15	Singing, happy drunk	0	変愚	1.000	He makes you glad to be sober.	誰でも彼に会えば、酔いを覚ましてあげたいような気になる。
16	Aimless looking merchant	0	変愚	1.000	The typical ponce around town, with purse jingling, and looking for more amulets of adornment to buy.	町をふらつく典型的なクズで、財布をじゃらじゃらさせて、装飾のアミュレットを買おうと町を探し回っている。
17	Mean looking mercenary	0	変愚	1.000	No job is too low for him.	仕事が見つからないことが彼をいっそう貧しくしている。
18	Battle scarred veteran	0	変愚	1.000	He doesn't take to strangers kindly.	彼は見知らぬ人に優しく接したりはしない。
19	Nick the Butcher	0	当方		With the help of his lemming-like followers, Nick has already destroyed one parallel universe and butchered its inhabitants. Now he's come here to wreak more havoc... at least, this is what you heard some guy say at the inn.	レミングのような手下を引き連れ、ニックは既にひとつの並行世界を滅ぼし、その住人を屠ったという。今度はこちらの世界を荒らしに来たらしい……少なくとも、宿屋で誰かがそう話していた。
20	Grey mold	1	変愚	1.000	A small strange growth.	小さい奇妙なカビだ。
21	Large white snake	1	変愚	1.000	It is about eight feet long.	それは長さが 2.5 メートル近くもある。
22	Blinking dot	1	変愚	1.000	Is it there or is it not?	それはそこにいるのだろうか？いないのだろうか？
23	Newt	1	変愚	1.000	A small, harmless lizard.	小さな害のないトカゲだ。
24	Giant white centipede	1	変愚	1.000	It is about four feet long and carnivorous.	それは長さが 1.5 メートル近くもある肉食生物だ。
25	White icky thing	1	変愚	1.000	It is a smallish, slimy, icky creature.	それはドロドロしてベトベトした小さなモンスターだ。
26	Clear icky thing	2	変愚	1.000	It is a smallish, slimy, icky, blobby creature.	それは汚らしいドロドロネバネバした小さな塊のようなモンスターだ。
27	Giant white mouse	1	変愚	1.000	It is about three feet long with large teeth.	それは長い歯を持った 1 メートル近い大きさのネズミだ。
28	Large brown snake	1	変愚	1.000	It is about eight feet long.	それは長さが 2.5 メートル近くもある。
29	Small kobold	1	変愚	1.000	It is a squat and ugly humanoid figure.	それは地に潜む、醜い人間型のモンスターだ。
30	Kobold	3	変愚	1.000	It is a small, dog-headed humanoid.	それは犬のような頭をした、小さな人間型のモンスターだ。
31	Green worm mass	1	変愚	1.000	It is a large slimy mass of worms.	それはベトベトしたイモムシの大群だ。
32	Floating eye	1	変愚	1.000	A disembodied eye, floating a few feet above the ground.	地面から数十センチ上に浮かんでいる体を持たない目玉だ。
33	Rock lizard	1	変愚	1.000	It is a small lizard with a hardened hide.	それは小さなトカゲで硬い皮を持っている。
34	Grid bug	1	変愚	1.000	A strange electric bug.	奇妙な、電気的な虫だ。
35	Jackal	1	変愚	1.000	It is a yapping snarling dog, dangerous when in a pack.	それはやかましく唸る犬型の動物で、群れていると危険だ。
36	Soldier ant	1	変愚	1.000	A large ant with powerful mandibles.	強い顎を持った大きなアリだ。
37	Fruit bat	1	変愚	1.000	A fast-moving pest.	動きの素早い厄介者だ。
38	Insect swarm	1	変愚	1.000	A lone insect may be harmless, but there's a whole swarm of them here!	その虫は単体ならば特に害はないだろう、しかしここには大勢の大群がいる！
39	Greater Hell-Beast	1	変愚	1.000	This unholy abomination will crush you. Flee while you can!	この不浄な災いはあなたを押し潰すだろう。いまのうちに逃げろ！
40	Shrieker mushroom patch	2	変愚	1.000	Yum! These look quite tasty.	うーん！それはとてもおいしそうに見える。
41	Blubbering icky thing	2	変愚	1.000	It is a smallish, slimy, icky, hungry creature.	それはドロドロしてベトベトして貪欲な小さいモンスターだ。
42	Metallic green centipede	2	変愚	1.000	It is about four feet long and carnivorous.	それは長さが 1.5 メートル近くもある肉食生物だ。
43	Novice warrior	2	変愚	1.000	He looks inexperienced but tough.	彼はまだまだ経験は浅いようだが、手強い相手だ。
44	Novice rogue	2	変愚	1.000	A rather shifty individual.	彼は多少は策略をめぐらす。
45	Novice archaeologist	3	当方		A young student, out exploring and looking for valuable items.	探検に出て、値打ちのあるアイテムを探し回っている若い学生だ。
46	Novice mage	2	変愚	1.000	He is leaving behind a trail of dropped spell components.	彼はさっと呪文を唱えるだけ唱えては逃げようとする。
47	Yellow mushroom patch	2	変愚	1.000	Yum! It looks quite tasty.	うーん！それはとてもおいしそうに見える。
48	Yellow jelly	2	変愚	1.000	It's a large pile of yellow flesh.	それは黄色い肉のような物質の塊だ。
49	Giant black ant	2	変愚	1.000	It is about three feet long.	それは大きさが 1 メートル近くもある。
50	Salamander	2	変愚	1.000	A small black and orange lizard.	黒とオレンジ色のまだら模様をした小さなトカゲだ。
51	White harpy	2	変愚	1.000	A flying, screeching bird with a woman's face.	女性の顔をした鳥で、辺りを飛び回って金切り声を上げている。
52	Blue yeek	2	変愚	1.000	A small humanoid figure.	人間に近い姿をした小さな生物だ。
53	Grip, Farmer Maggot's dog	2	変愚	1.000	A rather vicious dog belonging to Farmer Maggot. It thinks you are stealing mushrooms.	農夫マゴットが飼っている少々凶暴な犬だ。それはあなたがキノコを盗んだと思っている。
54	Wolf, Farmer Maggot's dog	2	変愚	1.000	A rather vicious dog belonging to Farmer Maggot. It thinks you are stealing mushrooms.	農夫マゴットが飼っている少々凶暴な犬だ。それはあなたがキノコを盗んだと思っている。
55	Fang, Farmer Maggot's dog	2	変愚	1.000	A rather vicious dog belonging to Farmer Maggot. It thinks you are stealing mushrooms.	農夫マゴットが飼っている少々凶暴な犬だ。それはあなたがキノコを盗んだと思っている。
56	Giant green frog	2	変愚	1.000	It is as big as a wolf.	それは狼と同じくらいの大きさがある。
57	Freesia	2	変愚	1.000	A striped housecat who enjoys hunting.	それは狩りを楽しむ縞のある家猫だ。
58	Slimy worm mass	2	当方		It is a large extra-slimy mass of worms.	とりわけぬめぬめした、イモムシの大きな群れだ。
59	Large yellow snake	2	変愚	1.000	It is about ten feet long.	それは長さが 3 メートル近くもある。
60	Cave spider	2	変愚	1.000	It is a black spider that moves in fits and starts.	それは黒い蜘蛛で発作的に突如動き出す。
61	Crow	2	変愚	1.000	It is a hooded crow, gray except for the black wings and head.	それは黒い羽と頭を除けば灰色の、群れているカラスだ。
62	Wild cat	2	変愚	1.000	A larger than normal feline, hissing loudly. Its velvet paws conceal a fistful of needles.	通常のネコより体が大きくて大きな声で鳴く。その柔らかく美しい足には鋭い爪が隠されている。
63	Smeagol	3	変愚	1.000	"""Down the face of a precipice, sheer and almost smooth it seemed in the pale moonlight, a small black shape was moving with its thin limbs splayed out. Maybe its soft clinging hands and toes were used, but it looked as if it was just creeping down on sticky pads, like some large prowling thing of insect-kind. And it was coming down head first, as if it was smelling its way. Now and again it lifted its head slowly, turning it right back on its long skinny neck, and the hobbits caught a glimpse of two small pale gleaming lights, its eyes that blinked at the moon for a moment and then were quickly lidded again."""	「青白い月の光に照らされて、ほとんど凹凸もなく滑らかに切り立って見える断崖の岸壁を下へ、小さな黒い姿が細い手足をぶざまに張り出して動いていました。おそらくその柔らかいねばりつくような手足の指はどんなホビットにも見つけることもできないような細い割れ目やわずかな出っ張りをも見出しているのでしょうが、見たところ、餌を求めてうろつく何か大きな昆虫のように、ねばつく足の裏を使って這い降りているかのように見えました。それにまるでにおいを嗅ぐためのように、頭を下にして降りているのでした。時折りそれは頭をゆっくりもたげ、骨と皮ばかりの長い首の上でそれをぐいとのけぞらせました。するとホビットたちには、青白く光る二つの小さな光がちらりと見えるのでした。それは目でした。目は月光に一瞬まばたくと、次の瞬間には大急ぎで閉じられてしまうのでした。」（J.R.R.トールキン、瀬田貞二・田中明子訳 新版指輪物語） 
64	Slimy ooze	3	当方		It's slimy and it's oozing.	ぬめぬめしていて、じくじくと滲み出している。
65	Poltergeist	3	変愚	1.000	It is a ghastly, ghostly form.	それは恐ろしげな幽霊のような姿をしている。
66	Green jelly	3	変愚≒	0.821	It's a large pile of greenish flesh.	それは脈打つ緑色の肉のような物質の塊だ。
67	Metallic blue centipede	3	変愚	1.000	It is about four feet long and carnivorous.	それは長さが 1.5 メートル近くもある肉食生物だ。
68	Raven	3	変愚	1.000	Larger than a crow, pitch black.	それは真っ黒で、カラスよりも大きい。
69	Giant white louse	3	変愚	1.000	It is six inches long.	それは 30 センチもの大きさがある。
70	Piranha	3	変愚	1.000	Bloodthirsty fish who can smell your blood from a great distance.	この血に飢えた魚はあなたの血の匂いを遠くから嗅ぎ分ける。
71	Black naga	3	変愚	1.000	A large black serpent's body with a female torso.	女性の上半身を持った大きな黒いヘビだ。
72	Spotted mushroom patch	3	変愚	1.000	Yum! It looks quite tasty.	うーん！それはとてもおいしそうに見える。
73	Silver jelly	3	変愚	1.000	It is a large pile of silver flesh that sucks all light from its surroundings.	それは銀色の肉のような物質の塊で、付近の光を全て吸い取る。
74	Scruffy looking hobbit	3	当方	0.758	A short little guy, in bedraggled clothes. He appears to be looking for a good tavern as he mutters something about missing second breakfast.	汚い服に身を包んだ背の低いホビットだ。二度目の朝食を食べ損ねたとぶつぶつ言いながら、良い居酒屋を探し回っているようだ。
75	Giant white ant	3	変愚	1.000	It is about two feet long and has sharp pincers.	それは大きさが 60 センチ近くあり、さらに鋭い顎も持っている。
76	Yellow mold	3	変愚	1.000	It is a strange growth on the dungeon floor.	それはダンジョンの床に生えている奇妙なカビだ。
77	Metallic red centipede	3	変愚	1.000	It is about four feet long and carnivorous.	それは長さが 1.5 メートル近くもある肉食生物だ。
78	Yellow worm mass	3	変愚	1.000	It is a large slimy mass of worms.	それはベトベトしたイモムシの大群だ。
79	Clear worm mass	3	変愚	1.000	It is a disgusting mass of poisonous worms.	それは毒を持った汚らわしいイモムシの大群だ。
80	Radiation eye	3	変愚	1.000	A disembodied eye, crackling with energy.	エネルギーを放出してパチパチと輝いている、体を持たない目玉だ。
81	Yellow light	4	変愚	1.000	A fast-moving bright light.	それは素早く動く、輝く光体だ。
82	Cave lizard	4	変愚	1.000	It is an armoured lizard with a powerful bite.	硬い皮を持ったトカゲで噛む力が強い。
83	Novice ranger	4	変愚	1.000	An agile hunter, ready and relaxed.	機敏な野伏で、常に戦闘を意識している。
84	Frosty jelly	4	当方		A large pile of shivering pale flesh.	震える青白い肉のような物質の大きな塊だ。
85	Creeping copper coins	4	変愚	1.000	It is a pile of coins.	それはコインの塊だ。
86	Giant white rat	4	変愚	1.000	It is a very vicious rodent.	それは非常に凶暴な齧歯類の生物だ。
87	Goblin	5	当方		This cowardly creature has brought its friends to mob you.	この臆病な生き物は、仲間を引き連れてあなたに群がってくる。
88	Swordfish	4	変愚	1.000	"An animal with a swordlike ""beak""."	"それは剣のような""鉤鼻""を持った魚だ。"
89	White worm mass	4	変愚	1.000	It is a large slimy mass of worms.	それはベトベトしたイモムシの大群だ。
90	Large grey snake	4	変愚	1.000	It is about ten feet long.	それは長さが 3 メートル近くもある。
91	Skeleton kobold	5	変愚	1.000	It is a small animated kobold skeleton.	それはスモール・コボルドの骸骨に生命が吹き込まれたものだ。
92	Ewok	5	変愚	1.000	A cute, furry little animal, full of merchandising potential.	それは小さな毛むくじゃらのかわいい熊で、商業的価値が高い。
93	Novice mage	3	変愚	1.000	He is leaving behind a trail of dropped spell components.	彼はさっと呪文を唱えるだけ唱えては逃げようとする。
94	Green naga	5	変愚	1.000	A large green serpent with a female's torso. Her green skin glistens with acid.	女性の上半身を持った大きなヘビだ。その緑の肌は酸に満ちている。
95	Giant leech	5	変愚	1.000	Yech! The disgusting thing only wants your blood!	げぇ！それはあなたの血を欲しているだけの嫌な奴だ！
96	Barracuda	10	変愚	1.000	A predatory fish with razor-sharp teeth.	それはきわどく鋭い歯を持った肉食の魚だ。
97	Novice paladin	4	変愚	1.000	An adventurer both devoutly religious and skillful in combat. He seems to consider you an agent of the devil.	深い信仰心と巧みな戦闘技術を持った冒険者だ。彼はあなたを悪の使いとみなしているようだ。
98	Zog	5	変愚	1.000	Drooling, insectoid aliens with disgusting habits.	よだれを垂らしている昆虫型のエイリアンで、気持ち悪い習性を持っている。
99	Slush pile	5	当方		It's a pile, and it's slushy.	べちゃべちゃに融けかけた雪の山だ。
100	Green glutton ghost	5	変愚	1.000	It is a very ugly green ghost with a voracious appetite.	それは尽きることのない旺盛な食欲を持った、緑色の醜いゴーストだ。
101	Slimy jelly	5	当方		It is a large pile of pulsing blue-green flesh.	脈打つ青緑色の肉のような物質の大きな塊だ。
102	Large kobold	5	変愚	1.000	It a man-sized figure with the all too recognizable face of a kobold.	それは人間くらいの大きさで、どこから見てもコボルドだと分かる顔つきをしている。
103	Grey icky thing	5	変愚	1.000	It is a smallish, slimy, icky, nasty creature.	それはドロドロしてベトベトして不潔な小さいモンスターだ。
104	Disenchanter eye	5	変愚	1.000	A disembodied eye, crackling with magic.	魔力を放出して火花をあげている、体を持たない目玉だ。
105	Red worm mass	5	変愚	1.000	It is a large slimy mass of worms.	それはベトベトしたイモムシの大群だ。
106	Copperhead snake	5	変愚	1.000	It has a copper head and sharp venomous fangs.	それは毒のある鋭い牙を持っている。
