# アイテム（アイテム）の説明文
#
# **この表が説明文の定義の置き場。** 作り直しは `python tools/frox/fc_build_ja_desc.py --write`、
# ここから `edit/k_info.ja.txt` の `D:` を組むのは `fc_build_ja_names.py --write`。
#
# 欄はタブ区切りで idx / name / dep / src / ratio / en / ja。
#   src=変愚   … 英語原文が変愚と一致。訳をそのまま採った
#   src=変愚≒  … ほぼ一致（ratio が材料）。**目で確かめること**
#   src=当方   … 人が書いた。**作り直しでも消さない**
#   src=未訳   … 空欄。英語のまま出る（制約 4）
#
# ja を書き替えれば src は次の作り直しで自動的に `当方` になる。
# name と en は**人が読むため**で、突き合わせには使わない（突き合わせは idx）。
idx	name	dep	src	ratio	en	ja
1	Poison	5	変愚	1.000	It poisons you when you eat it.	それは食べると毒に冒される。
2	Blindness	5	変愚	1.000	It blinds you when you eat it.	それは食べると盲目になる。
3	Paranoia	5	変愚	1.000	It scares you when you eat it.	それは食べると恐怖する。
4	Confusion	5	変愚	1.000	It confuses you when you eat it.	それは食べると混乱する。
5	Hallucination	10	変愚	1.000	It makes you hallucinate when you eat it.	それは食べると幻覚に侵される。
6	Paralysis	20	変愚	1.000	It paralyzes you when you eat it.	それは食べると麻痺する。
7	Weakness	10	変愚	1.000	You take 6d6 damage and it decreases your strength when you eat it.	それは食べると6d6のダメージを受け、腕力の現在値が下がる。
8	Sickness	10	変愚	1.000	You take 6d6 damage and it decreases your constitution when you eat it.	それは食べると6d6のダメージを受け、耐久力の現在値が下がる。
9	Stupidity	15	変愚	1.000	You take 8d8 damage and it decreases your intelligence when you eat it.	それは食べると8d8のダメージを受け、知能の現在値が下がる。
10	Naivety	15	変愚	1.000	You take 8d8 damage and it decreases your wisdom when you eat it.	それは食べると8d8のダメージを受け、賢さの現在値が下がる。
11	Unhealth	15	変愚	1.000	You take 10d10 damage and it decreases your constitution when you eat it.	それは食べると10d10のダメージを受け、耐久力の現在値が下がる。
12	Disease	20	変愚	1.000	You take 10d10 damage and it decreases your strength when you eat it.	それは食べると10d10のダメージを受け、腕力の現在値が下がる。
13	Cure Poison	10	変愚	1.000	It cures poison when you eat it.	それは食べると毒を癒す。
14	Cure Blindness	10	変愚	1.000	It cures blindness when you eat it.	それは食べると盲目を癒す。
15	Cure Paranoia	10	変愚	1.000	It removes fear when you eat it.	それは食べると恐怖を取り除く。
16	Cure Confusion	10	変愚	1.000	It cures confusion when you eat it.	それは食べると混乱から立ち直る。
17	Restore Constitution	20	変愚	1.000	It restores your constitution when you eat it.	それは食べると耐久力が回復する。
18	Restoring	20	変愚	1.000	It restores all your stats when you eat it.	それは食べると全ステータスが回復する。
19	Restore Strength	20	変愚	1.000	It restores your strength when you eat it.	それは食べると腕力が回復する。
20	Fast Recovery	15	当方		It speeds your recovery when you eat it.	それは食べると回復が早くなる。
32	& Ration~ of Food	0	変愚	1.000	This nutritious but fairly bland food is familiar to anyone contemplating long journeys.	栄養はあるが味気ないこの食料は長旅を考える冒険者に良く合う。
33	& Hard Biscuit~	0	変愚	1.000	Twice-cooked for good keeping qualities, this lump of bread is as hard as a rock and about as tasty.	日持ちを良くする為に二度焼きした乾パンの一種だ。岩のように固く、味もだいたいその程度。
34	& Strip~ of Venison	0	変愚≒	0.878	A strip of jerked beef that seems never to spoil.	良く乾燥させた肉。決して腐る事が無さそうだ。
35	& Slime Mold~	1	変愚	1.000	An utterly hideous fungal growth. It is strangely appealing...	ぞっとするような菌類の固まりだ。なぜか食欲を刺激する…。
36	& Pint~ of Fine Ale	0	変愚	1.000	Made from the barley of Eriador, and brewed to golden perfection.	エリアドールの大麦を醸造し、金色になるまで熟成させたものだ。
37	& Pint~ of Fine Wine	0	変愚	1.000	A heady wine, almost as good as that served at the Green Dragon at Bywater.	水の辺村の緑竜館で出るのと同じくらい質の良い、アルコール度の高いワインだ。
38	& Piece~ of Elvish Waybread	5	変愚	1.000	Small golden-brown wafers wrapped in silven leaves. Made with elvish art, it sustains life where nothing else can.	銀色の葉に包まれた小さな山吹色の薄焼き菓子の束だ。エルフの技で作られ、その滋養は他に食べ物が何も無くとも数週間もの間生命を維持する程である。
39	& Serving~ of Ambrosia	90	当方		Food of the gods, fragrant and sweet. It cures poison, heals hp a bit, and restores your stats and life when eaten.	芳しく甘い、神々の食べ物だ。食べると毒が癒え、体力が少し回復し、能力値と生命力が元に戻る。
46	& Broken Sword~	0	変愚	1.000	Above the hilt, a foot of steel rises, ending in a jagged edge.	柄の上でギザギザに折れている。
47	& Dagger~	0	変愚	1.000	A two-edged knife with a sharp point.	先端が鋭い両刃の短剣だ。
48	& Main Gauche~	3	変愚	1.000	A short thrusting blade with a large guard, primarily used in duels.	拳を防御する大きな鍔を持つ短い剣。主に決闘で防御用の短剣として用いられる。
50	& Rapier~	5	変愚	1.000	A long, thin thrusting blade, mainly used in duels.	突きに用いる長く細い刀身を持つ剣。主に決闘に用いられる。
51	& Small Sword~	5	変愚	0.992	A smaller version of the longsword, perfectly sized for Hobbits.	ロング・ソードを少し短くしたような剣だ。ホビットにぴったりのサイズだ。
53	& Short Sword~	5	変愚	1.000	A short thrusting sword.	主に突く用途に用いる短い剣だ。
54	& Sabre~	5	変愚	1.000	A light, somewhat curved blade that can be used to thrust or slash; familiar to horseman and duelists alike.	軽い少し曲った刃を持ち、切る事も突く事もできる。馬上及び決闘においてよく使われる。
55	& Cutlass~	5	変愚	1.000	A large, curved chopper with a basket hilt, well known to seamen.	大きな曲った刀身と手をカバーする網状の柄を備えた剣だ。船員に良く用いられる。
59	& Broad Sword~	10	変愚	1.000	A heavy, double-edged sword with a strong grip.	重く広い刀身と頑丈な柄を持った両刃の直刀だ。
60	& Long Sword~	10	変愚	1.000	A long, straight, two-edged blade, with two hand guards projecting out from the hilt to form a perfect cross.	十字の形に2本の柄が付いた長い両刃の直刀だ。
61	& Scimitar~	10	変愚	1.000	A single-edged slashing sword with a blade like a crescent.	斬る用途に特化した三日月のような刀身を持つ片刃の剣だ。
63	& Katana~	20	変愚	1.000	A slightly curved long-handled slashing sword with a single-edged blade and a chisel tip.	長い柄と微妙に曲った刃を持つ切れ味に優れた片刃の剣だ。
64	& Bastard Sword~	15	変愚	0.995	Also known as the hand-and-a-half blade. A larger-than-normal straight-sided sword with two cutting edges.	片手半剣とも呼ばれる。通常のロング・ソードよりも長い両刃の直刀だ。
68	& Two-Handed Sword~	30	変愚	1.000	A great, double-edged broadsword which few can wield in one hand.	非常に大きな両刃の直刀で、これを片手で持てる者はほとんどいない。
71	& Executioner's Sword~	40	変愚	1.000	A giant, curved blade designed to cleave the head cleanly from the body.	胴体から頭を綺麗に切り落とす為に作られた、巨大な曲った刃を持つ剣だ。
73	& Blade~ of Chaos	70	変愚	1.000	This inconstant weapon revels in disorder, hacking and slashing your foes with bloodthirsty glee.	千変万化の姿を持つこの武器は混沌の力によって敵を切り刻み、殺戮にふける事に残忍な喜びを感じている。
77	& Rune Sword~	70	当方		A black blade, covered with gleaming runes. It is rumored to be an evil weapon of great power that will ultimately control its bearer.	輝くルーンに覆われた黒い刃だ。強大な力を持つ邪悪な武器で、最後には持ち主を支配してしまうという噂がある。
86	& Spear~	5	変愚	1.000	The basic polearm, with a double-edged knife mounted on a light shaft. This weapon can be thrown effectively.	最も基本的な竿状武器だ。軽く長い竿の先に尖った両刃の穂先が付いていて、突き刺すのに適している。
89	& Trident~	5	変愚	1.000	A three-pronged spear, originally for catching fish.	三又の槍で、元来は魚を捕るのに用いられていた。
92	& Pike~	15	変愚	1.000	A long, heavy spear with an iron head and reinforced shaft.	補強された柄に鉄の穂先が付いた、非常に長く重い槍だ。
94	& Beaked Axe~	15	変愚	1.000	A narrow axe head opposed by a crow's beak, mounted on an oaken shaft.	木製の柄に、背が烏のクチバシを模した突起になった形の幅が狭い斧が付いている。
95	& Broad Axe~	15	変愚	1.000	A simple, single-bladed war axe capable of chopping though limbs or armour.	単純な作りの片刃の戦斧で、対象の胴体や鎧を切断する威力がある。
97	& Glaive~	20	変愚	1.000	A reinforced wooden pole eight feet long, topped by a massive knife blade that can can be used to thrust or chop.	2.5メートル程の補強された木製の棒の先端に大きなナイフの刃が真っ直に付いている。切り裂く事も付き刺す事もできる。
99	& Halberd~	25	変愚	1.000	The most successful of the polearms, the halberd has a long haft mounted with a heavy axe blade and opposing spike, and topped by a thrusting spine.	長い竿に重い斧の刃とその反対側にスパイクが付き、さらに竿の先端に付き刺す為の穂先が付いている。最も完成されたタイプの竿状武器である。
101	& Scythe~	45	変愚	1.000	The long crescent blade stands out from the handle of this polearm, and it is swung with two hands to harvest grain or blood.	長い三日月型の刃が長い柄の先端に突けられている。両手に持って穀物、または生命を苅り取る為に用いられる…。
103	& Battle Axe~	15	変愚	1.000	A double-bladed axe. Very popular among Dwarves.	幅広の両刃の斧だ。ドワーフによく用いられる。
104	& Great Axe~	40	変愚	1.000	An enormous two-handed battle axe, carried by Dwarven champions, who compete to see who can cleave the most orc heads.	巨大な両手持ち用の戦斧だ。オークの首を落とした数を競うドワーフの戦士が愛用している。
108	& Scythe~ of Slicing	60	変愚	1.000	A reaper's weapon, the long blade almost hums in anticipation of the blood it will spill.	死神の武器である。その長い刃は流血の期待に歓喜の声を上げているかのようだ。
121	& Whip~	3	変愚	1.000	A heavy whip, this thick coil is thrown from the shoulder and can knock down a large man.	重い鞭だ。きつく巻いたこの鞭を肩の上から振り下ろすと大の男でも打ち倒す事ができる。
122	& Quarterstaff~	10	変愚	1.000	Six feet of oak which can be wielded in both hands to give a drubbing or block one.	2メートル程度の長さの木製の杖だ。両手で持って打ち付けたり攻撃を受け止める為に用いられる。
124	& Mace~	5	変愚	1.000	A war club with an iron head, usually flanged.	鉄球、または鍔付きの多面体形の鉄塊が先端に付いた棍棒だ。
125	& Ball-and-Chain~	20	変愚	1.000	A weighty iron ball, suspended by a chain from a sturdy oaken handle.	頑丈な木製のハンドルに、重い鉄のボールが鎖で繋っている。
127	& War Hammer~	5	変愚	1.000	A mallet with a tapered head and a long handle.	長いハンドルがあり、先の尖った槌が先端から直角に付き出た形をしている。
129	& Morning Star~	10	変愚	1.000	A war club with an spiked iron ball on the head.	星型のトゲが突き出た鉄球が先端に付いた棍棒だ。
130	& Flail~	10	変愚	1.000	Two heavy bars of wood connected by a short link of chain, capable of delivering crushing blows.	2本の重い木製の棒を短い鎖で繋げた物だ。対象を叩き潰す為に用いる。
132	& Lead-Filled Mace~	15	変愚	1.000	A heavy war club topped with a mass of lead-filled steel, capable of landing crushing blows.	重い棍棒の先に鉛を詰めた鋼鉄の重りを繋げてある。対象を叩き潰す為に用いる。
134	& Two-Handed Flail~	45	変愚	1.000	Two great bars of wood connected by a massive chain, needing two hands to properly wield.	2本の非常に大きな木製の棒を重い鎖で継いである。うまく用いるためには両手が必要だ。
136	& Mace~ of Disruption	80	変愚	1.000	A giant's weapon, enchanted with shattering power that breaks bones, bodies, and spirit.	巨人の武器であり、相手の骨を、体を、そして精神をも粉砕する魔法が掛けられている。
150	& Shovel~	1	変愚	1.000	A compact and sturdy spade.	小型で頑丈なシャベルだ。
151	& Gnomish Shovel~	20	変愚	0.991	A small spade forged of steel with gnomish craftsmanship.	ノームの職人によって作られた鋼鉄製のシャベルだ。
152	& Dwarven Shovel~	40	変愚	1.000	A broad shovel, fit for the strong shoulders of a dwarf. It bears runes of delving and no ordinary rock can resist it.	ドワーフの強力な肩にちょうど良い幅広のシャベルだ。採掘力を高めるルーンを帯び、普通の岩ならばどんな物でも掘り進む事ができる。
153	& Pick~	5	変愚	1.000	A heavy mining tool with a long, slightly curved head that tapers to chisel points on both ends.	重い採掘用の道具で、微妙に曲った頭部の両端に切先が付いている。
154	& Orcish Pick~	30	変愚	1.000	A crude, ugly, but effective pickaxe. Made in enormous quantities for the slave-mines of Durthang.	粗雑で醜い作りだが、実用的なつるはしだ。
155	& Dwarven Pick~	50	変愚	1.000	A short but sturdy pick, like those that delved deep Moria, with runes to break the sinews of mountains.	モリアの深部の採掘に使われていたのと同様な、短く頑丈なつるはしだ。
