# アーティファクトの説明文
#
# **この表が説明文の定義の置き場。** 作り直しは `python tools/frox/fc_build_ja_desc.py --write`、
# ここから `edit/a_info.ja.txt` の `D:` を組むのは `fc_build_ja_names.py --write`。
#
# 欄はタブ区切りで idx / name / dep / src / ratio / en / ja。
#   src=変愚   … 英語原文が変愚と一致。訳をそのまま採った
#   src=変愚≒  … ほぼ一致（ratio が材料）。**目で確かめること**
#   src=当方   … 人が書いた。**作り直しでも消さない**
#   src=未訳   … 空欄。英語のまま出る（制約 4）
#
# ja を書き替えれば src は次の作り直しで自動的に `当方` になる。
# name と en は**人が読むため**で、突き合わせには使わない（突き合わせは idx）。
idx	name	dep	src	ratio	en	ja
1	of Galadriel	30	変愚	1.000	A small crystal phial, with the light of Earendil's Star contained inside. Its light is imperishable, and near it darkness cannot endure.	小さな水晶の瓶で、ガラドリエルの泉に映ったエアレンディルの星(シルマリル)の光が閉じ込めてある。その不滅の光はあらゆる暗闇を追い払う。
2	of Elendil	50	変愚	1.000	The shining Star of the West, a famed heirloom of Elendil's house.	輝く『西方国の星』で、エレンディルの家系に伝わる家宝だ。銀の鎖に白い宝石がついている。
4	of Carlammas	50	変愚	1.000	A fiery circle of bronze, with mighty spells to ward off evil.	ブロンズの燃えるような首飾りで、邪悪な者をかわして退散させる強力な呪文が込められている。
5	of Ingwe	65	変愚	1.000	The ancient heirloom of Ingwe, high lord of the Vanyar, against whom nothing of evil could stand.	ヴァラールの島に渡り中つ国に戻ることのなかったヴァンヤール族の上級王イングウェの家系伝来の家宝。イングウェに対抗できる邪悪なものはいなかった。
6	Necklace of the Dwarves	70	当方		The Nauglamir; a carencet of gold set with a multitude of shining gems of Valinor, accenting a radiant Silmaril. The sturdy spirits of Dwarvish craftsmen who labored long in mountain smithies lie within it still, and as gossamer it rests upon the bearer.	ナウグラミーア。ヴァリノールの輝く宝石を数多く嵌め込み、燦然たるシルマリルを際立たせた黄金の首飾りだ。山の鍛冶場で長く働いたドワーフの職人たちの頑健な魂が今もその中に宿っており、身に付ける者には蜘蛛の糸のように軽く感じられる。
7	of Edison	40	当方		"Thomas Edison, the ""Wizard of Menlo Park,"" patented 1,093 inventions, including the incandescent lightbulb."	「メンロパークの魔術師」トーマス・エジソンは、白熱電球をはじめ 1,093 件の発明で特許を取った。
9	of Tulkas	70	変愚	1.000	The treasure of Tulkas, most fleet and wrathful of the Valar.	ヴァラールの中でも最も素早くかつ勇猛なトゥルカスの宝だ。
10	of Power (Narya)	70	変愚	1.000	The Ring of Fire, set with a ruby that glows like flame. Narya is one of the three Rings of Power created by the Elves and hidden by them from Sauron.	炎のように輝くルビーがはめられた火の指輪で、エルフにより作られサウロンから隠された三つの力の指輪のうちの一つだ。
11	of Power (Nenya)	80	変愚	1.000	The Ring of Adamant, with a pure white stone as centerpiece. Nenya is one of the three Rings of Power created by the Elves and hidden by them from Sauron.	冷気の凝縮した真っ白な宝石がはめられた指輪だ。エルフにより作られサウロンから隠された三つの力の指輪のうちの一つだ。
12	of Power (Vilya)	90	変愚	1.000	The Ring of Sapphire, with clear blue gems that shine like stars, glittering untouchable despite all that Morgoth ever wrought. Vilya is one of the three Rings of Power created by the Elves and hidden by them from Sauron.	星の様に輝く透き通ったサファイアの指輪だ。エルフにより作られサウロンから隠された三つの力の指輪のうちの一つだ。
13	of Power (The One Ring)	100	変愚	1.000	"""One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them."" Made of massive gold, and set with runes in the foul speech of Mordor, Isildur's Bane possesses powers so great that it inevitably twists and masters any earthly being who wears it."	「一つの指輪は全てを統べ、一つの指輪はすべてを見つけ、一つの指輪はすべてを捕えてくらやみのなかにつなぎとめる。」重厚な金の指輪で、モルドールの忌まわしい言葉でルーン文字が刻んである。このイシルドゥアの禍の力はあまりにも強大なので、普通の者はそれを身に付けるだけで歪められ支配されてしまう。
